id	generation	parent1	parent2	feasible	[Continuous] input_0	[Categorical] input_1	[Minimize] displacement	[Minimize] material
44	0	None	None	True	[1.9065050615838741, 3.2555805789538095, 3.3783859605807134, 3.8734504774246767, 0.4456663799571825, 3.4940883462544674]	[2, 1, 2, 0, 2]	0.011974	4593.894228
45	0	None	None	True	[0.10272241585911224, 2.393024929476584, 2.750602180175945, 0.05871336228068125, 1.5889909830665994, 3.5686438674117875]	[2, 1, 1, 1, 1]	0.024519	4090.503403
46	0	None	None	True	[4.270039809465404, 4.75571897274175, 3.5415159379772634, 4.702254121728933, 1.8678158035511245, 4.61043371166339]	[2, 2, 0, 1, 2]	0.004155	5588.520624
47	0	None	None	True	[4.817112501007984, 1.3616122279922371, 3.3494518841424274, 4.973189394523642, 1.6434395118855805, 0.2877678564484698]	[2, 1, 2, 2, 2]	0.003293	5632.167639
48	0	None	None	True	[2.4650056890877248, 4.160227463502716, 3.4743840269594317, 1.4071803020508522, 4.235933304449284, 2.6716117575640146]	[0, 0, 2, 2, 1]	0.012488	4459.988474
49	0	None	None	True	[0.39003503035499043, 0.49742373743747126, 0.050179812462168294, 3.311929117474692, 1.9649387946882308, 3.5181447055751502]	[0, 0, 1, 0, 1]	0.030474	3278.975456
50	1	13	None	True	[0.7374937235895251, 1.5771616143166551, 1.375948451348823, 0.7098811794188487, 1.0584136174285175, 2.70252899467265]	[1, 0, 1, 2, 0]	0.015983	2799.231558
51	1	14	None	True	[2.3965888855048982, 3.6569857641199137, 4.319151361777143, 3.8146528777464868, 4.5958653574901795, 0.772955651907134]	[1, 1, 1, 1, 0]	0.00137	5393.918074
52	1	8	None	True	[0.6060777932991707, 1.7143395576675824, 2.70784884434574, 2.714636780730361, 3.3805602891793196, 0.6298612907710638]	[1, 0, 0, 0, 0]	0.006657	2857.158303
53	1	42	None	True	[1.809252122101284, 3.204957002231943, 1.6535487277572725, 2.565194291613699, 2.66358289209275, 2.031708217168828]	[2, 1, 1, 2, 1]	0.001824	4254.252374
54	1	2	None	True	[1.9291944666325906, 2.5667857723605736, 4.205531187305583, 3.0189962701278255, 1.775135083953231, 4.408502718064834]	[2, 1, 1, 0, 2]	0.001653	4718.605644
55	1	49	0	True	[1.324194870287866, 1.9128894831446772, 0.0, 3.3161910468750877, 0.7122690203754313, 3.838604663779149]	[0, 2, 2, 0, 1]	0.043217	3557.98336
56	1	2	20	True	[2.975146234949512, 2.275548327031859, 4.255931609279394, 3.039699016575383, 5.0, 4.434466528089012]	[2, 1, 1, 1, 2]	0.001617	6021.463095
57	1	38	6	True	[3.4150523773603254, 4.679533955349281, 1.5657715875028506, 1.489744839961454, 1.9159017239481955, 1.4482402417373679]	[2, 1, 0, 0, 2]	0.006178	3848.933868
58	1	46	33	True	[4.312947053047153, 1.5763497976730587, 2.2631447182810307, 3.101551586486657, 1.4080736087523658, 1.7168455273822623]	[0, 2, 2, 1, 2]	0.018556	3974.412591
59	1	8	38	True	[0.0, 0.8739475748915532, 2.547722327558628, 2.646025012775901, 2.8161585147324812, 0.452777602518665]	[0, 0, 0, 0, 0]	0.006152	2317.893444
60	1	6	2	True	[3.3697046191450273, 1.1162463047105549, 2.7518436058890767, 1.7335508836174718, 1.772010777866913, 4.380217602444744]	[2, 1, 0, 1, 2]	0.005708	4365.755335
61	1	49	36	True	[3.2628866396581513, 0.7861345444705983, 2.823122658755972, 3.641381062753827, 3.1458366455841027, 1.8010686585725943]	[0, 0, 1, 0, 1]	0.02058	3747.728281
62	1	22	6	True	[3.452150017467381, 3.00381673215071, 2.1958624980769943, 2.3657818409464024, 2.4407770077022124, 0.08272718752352431]	[2, 1, 0, 0, 1]	0.004274	3626.412736
63	1	15	13	True	[3.6086708139943493, 0.5802389166700537, 1.5503702560067605, 1.817032588046335, 0.6510310402460451, 4.19314441070844]	[1, 2, 2, 2, 0]	0.028219	3859.552201
64	1	0	20	True	[2.788013932799331, 3.5968291904703795, 2.7983576277442275, 3.586286236492499, 0.0, 4.066391457132597]	[1, 2, 0, 0, 1]	0.042	4287.621616
65	1	15	14	True	[4.812728392884623, 1.1460903943185095, 1.6152438505083826, 2.7390726811954744, 0.0, 4.964847252608262]	[1, 1, 2, 1, 2]	0.015932	4685.953827
66	1	13	19	True	[2.0595188238212083, 1.5296368121429311, 2.586809791458389, 3.68864976426736, 1.3047806141185407, 4.033322910086348]	[2, 1, 1, 0, 0]	0.022224	4129.846551
67	1	26	49	True	[1.2730078899869421, 2.3567720427576013, 0.1308146099398967, 2.845169646518983, 1.9529545572022697, 3.3231782756182753]	[2, 0, 1, 0, 1]	0.028545	3735.898322
68	1	13	15	True	[1.0706698247446211, 0.3843498252058381, 1.6398290505864814, 0.6616988717444294, 1.2263610861577212, 2.593310389944135]	[1, 2, 1, 0, 0]	0.019389	2705.556888
69	1	44	22	True	[2.446016881426996, 4.497055144410537, 1.8167554203291252, 3.098478596026724, 1.7870780622821336, 2.1754116511427632]	[2, 1, 2, 0, 2]	0.001733	4278.739315
70	1	35	1	True	[4.184671430381811, 2.545329679914219, 1.765851995496597, 3.486561031807619, 1.7853381935398753, 1.5753896312744449]	[0, 0, 1, 1, 1]	0.024053	3916.388196
71	1	4	24	True	[3.179020798859609, 0.7505848715344482, 2.9126988155587337, 3.681502313331518, 3.7238055697840475, 0.60205842205913]	[1, 1, 1, 2, 2]	0.002384	5005.719255
72	1	35	38	True	[4.850910821585413, 5.0, 2.711733737906412, 2.362196762939619, 2.2685444137200244, 1.5938056784595112]	[1, 2, 0, 0, 1]	0.003516	4614.062591
73	1	14	43	True	[3.091356424253252, 3.9165450136405413, 4.687152271674385, 4.008386070932179, 4.005308506016575, 0.9845734706681467]	[1, 1, 1, 1, 0]	0.001564	5434.156442
74	1	4	25	True	[3.611459993119535, 5.0, 2.9797635220461016, 5.0, 0.0, 2.809278438217955]	[1, 1, 1, 2, 1]	0.025564	5385.076729
75	1	13	27	True	[2.506434222278254, 1.7927961656837494, 0.0, 4.930000474896054, 1.2820704318627991, 3.0619836180003164]	[2, 1, 1, 2, 0]	0.040959	4381.478413
76	1	25	14	True	[1.9951819186375057, 3.451455590137865, 3.395901718408701, 0.0, 0.0, 3.35956490723493]	[1, 1, 1, 1, 2]	0.02309	4109.996756
77	1	41	2	True	[2.352885429973675, 1.7971044347562444, 3.738592858859292, 3.2357106014041066, 1.2546120265095388, 4.305180130025283]	[2, 1, 1, 0, 2]	0.006283	4641.357954
78	1	36	42	True	[1.8389208257792626, 2.486989693312484, 0.9715809559806533, 1.3574509398012728, 2.9285393458519904, 1.1197897036181381]	[2, 1, 1, 2, 2]	0.002785	3845.193762
79	1	7	16	True	[2.440714565303215, 1.1976158968333266, 3.6047633297645807, 2.1575709513800696, 0.20998798553026732, 2.975987399725045]	[1, 2, 2, 1, 1]	0.013222	4387.585027
80	1	23	41	True	[2.815296050930638, 0.47832997056462734, 0.11336487143070842, 1.2397939940140479, 2.040679484574598, 2.7913687119111272]	[2, 0, 1, 2, 0]	0.029878	3160.677237
81	1	48	13	True	[1.985975930150011, 4.194557156699414, 3.141232881409117, 0.7277657809510902, 3.3279091587649186, 2.6795788653954924]	[1, 0, 1, 2, 1]	0.010665	4484.916278
82	1	16	42	True	[2.0176880407677946, 3.6070453943801617, 1.420843515221975, 2.5156154138071374, 2.039332148446411, 4.630328074492763]	[2, 1, 2, 2, 1]	0.0025	4828.377941
