id	generation	parent1	parent2	feasible	[Continuous] input_0	[Categorical] input_1	[Minimize] displacement	[Minimize] material
145	2	92	87	True	[1.9420797526410953, 4.387369360083982, 4.35085024039228, 2.9263214400944983, 0.7721846487768721, 1.3396378169786824]	[1, 0, 0, 2, 2]	0.008461	4152.009745
146	2	52	90	True	[0.12986708162779886, 1.5761957473350812, 2.9431600857788442, 2.280362824452933, 3.626208565318636, 0.9671456373517535]	[1, 1, 0, 0, 0]	0.012206	3267.831629
147	2	83	76	True	[2.268233492211467, 5.0, 3.8149631099418837, 0.4914742384611775, 0.017281299956510662, 3.5575696803782373]	[0, 1, 1, 1, 1]	0.028729	4614.660405
148	2	83	77	True	[0.0, 5.0, 4.142653499494948, 3.5135788088292115, 0.006849861774168353, 0.7861293814010744]	[0, 1, 1, 2, 1]	0.008901	4699.644097
149	2	60	72	True	[5.0, 4.638557335842181, 2.7203511577538726, 1.9686503823970631, 2.0186473386227908, 4.546393903238895]	[1, 1, 0, 1, 2]	0.003531	5016.174901
150	3	101	None	True	[1.831819056657741, 2.91674040828964, 4.579680372155624, 4.0723538569811755, 3.3199136380742926, 0.5243642229565496]	[1, 2, 1, 2, 1]	0.001217	5099.994554
151	3	140	None	True	[0.39044689166612323, 0.8028171765085915, 1.4860946247864457, 3.0037217276726267, 2.0111237524319296, 1.1257551156847427]	[0, 0, 0, 0, 0]	0.014447	2179.85314
152	3	100	None	True	[0.0, 0.8739475748915532, 2.547722327558628, 2.646025012775901, 2.8161585147324812, 0.452777602518665]	[0, 0, 0, 0, 0]	0.006152	2317.893444
153	3	111	None	True	[2.0855487435786584, 1.3160661978509733, 2.700026979499739, 2.905700903028457, 3.235316764635798, 0.7024501708978201]	[2, 0, 0, 0, 0]	0.005793	2988.086416
154	3	102	None	True	[3.452150017467381, 3.00381673215071, 2.1958624980769943, 2.3657818409464024, 2.4407770077022124, 0.08272718752352431]	[2, 1, 0, 0, 1]	0.004274	3626.412736
155	3	130	137	True	[0.44773407472793497, 2.78324823314136, 3.144101231169963, 1.5134962464754467, 1.14235578120807, 1.8570938507796786]	[0, 2, 2, 1, 2]	0.001866	3697.564842
156	3	113	120	True	[0.6958678889302101, 3.9392433382939163, 4.804496419723743, 3.731908890782015, 1.0193732356919216, 0.8053727067439289]	[1, 0, 1, 2, 2]	0.002374	4662.42231
157	3	111	101	True	[1.8598025645685659, 1.1243877396421234, 5.0, 2.5964621295356998, 3.261979861728406, 0.5932639472247896]	[2, 0, 1, 2, 1]	0.008445	4360.927302
158	3	101	108	True	[2.0247865651221333, 3.705757006177814, 4.004094084282881, 4.564331109974005, 2.091933633521462, 2.3519804180689357]	[2, 1, 2, 0, 1]	0.00386	4846.451346
159	3	105	101	True	[2.3447537679364348, 1.940442297477413, 2.6124219025855626, 1.4147827038199785, 3.573822574702189, 1.4196158118335251]	[2, 2, 1, 2, 1]	0.00228	4155.012642
160	3	102	126	True	[3.354754107906956, 3.0023218958935805, 1.5263917905421744, 2.333808023113519, 2.5129129609273013, 0.26895370531077273]	[2, 1, 2, 0, 0]	0.004781	3607.055193
161	3	114	104	True	[2.154564224660117, 2.6333029342013257, 2.965509041026266, 2.161582218236856, 3.9975286472317153, 0.8235148301686079]	[1, 1, 1, 0, 1]	0.013045	4211.478614
162	3	107	142	True	[2.1825802560401817, 2.789548946858935, 1.7591348579520196, 2.951537424927837, 1.8881816944510863, 4.730454416730548]	[2, 1, 1, 0, 0]	0.018478	4051.906973
163	3	140	113	True	[0.6474727334115442, 0.05959891265138806, 1.391024167155546, 2.991553205577127, 1.964243925156104, 1.1610729690930026]	[2, 1, 0, 2, 0]	0.011951	3001.591264
164	3	126	101	True	[3.033118657256371, 3.273527819500007, 5.0, 3.8557646975872437, 2.433131463888111, 0.409719817910861]	[1, 2, 2, 1, 1]	0.00122	5156.232218
165	3	133	111	True	[1.3993508166523605, 1.800308159268368, 2.8242361182804467, 1.8030915536277297, 4.924217036648624, 1.3678311243731716]	[2, 0, 1, 0, 0]	0.027475	3601.678234
166	3	137	127	True	[1.7528451636939135, 3.90567531767409, 1.7223358403589448, 1.523968614124098, 1.8579728034455056, 1.3313171045217511]	[2, 2, 1, 1, 2]	0.002261	4178.954728
167	3	140	106	True	[2.816999438696732, 0.7221040243031256, 1.6585233519727445, 2.67502245947807, 2.0637242037583636, 0.0]	[0, 0, 0, 0, 0]	0.017544	2423.682922
168	3	140	111	True	[2.450593164326896, 1.0904929591622765, 1.3587499008195854, 2.902421581895275, 3.3338633861817533, 0.7174232750137041]	[2, 0, 0, 0, 0]	0.01751	2951.092587
169	3	140	101	True	[0.4201560010391708, 2.1160558933933613, 2.5461632850145897, 3.9447186847953644, 2.4558093385061945, 0.4343406878746784]	[1, 0, 0, 0, 1]	0.005801	3159.379784
170	3	111	143	True	[2.2770283820851236, 0.5725524084317284, 2.748189329625049, 2.823367277206911, 3.9918266457398124, 0.7162970021850984]	[1, 0, 1, 1, 0]	0.005616	3945.098482
171	3	140	100	True	[0.0, 0.7848380008278959, 2.5202531284927474, 2.8369298199558832, 2.287809275567335, 0.42399146883045125]	[0, 0, 0, 0, 0]	0.005759	2239.874096
172	3	114	143	True	[2.410163152878248, 2.2970466151974342, 4.210984941676267, 2.720038377988141, 2.5756124991256044, 0.0]	[1, 2, 0, 0, 0]	0.006759	3525.239449
173	3	127	132	True	[0.0, 4.052024161491554, 1.8369912909176107, 1.4975266513177679, 2.040416687761227, 1.3754119375322162]	[2, 0, 1, 2, 1]	0.017463	3639.783778
174	3	139	102	True	[3.0692356612030927, 2.9544321298683958, 3.211488046021336, 2.171313107756802, 3.289128246459285, 0.5615013846548367]	[1, 2, 1, 0, 1]	0.009238	4204.834542
175	3	101	100	True	[0.7498891357358292, 0.564308081278885, 3.951692400033037, 2.6019434947857114, 2.986446821884285, 0.43788718408135563]	[1, 2, 0, 0, 1]	0.00762	3347.297252
176	3	143	146	True	[2.229828555756486, 0.9444110813246067, 3.5953334364246636, 3.439956412824789, 3.621404592251374, 0.8961274527185197]	[1, 1, 1, 1, 0]	0.002318	4505.768743
177	3	136	144	True	[0.0, 4.151694394517265, 4.223168865954743, 1.7502769347616018, 1.309008408831176, 1.238326475080256]	[0, 0, 0, 2, 2]	0.014057	3392.317722
178	3	137	101	True	[1.922988848465491, 2.9826299567741166, 3.888204832963112, 2.9178282617125118, 2.984780875853747, 0.32270331577737915]	[1, 2, 1, 2, 2]	0.001244	4778.341043
179	3	139	106	True	[1.8602596853769842, 3.017863061660775, 3.413203822782452, 2.073694824340701, 2.9977411658812674, 1.30381667329969]	[0, 2, 0, 0, 1]	0.012766	3464.665202
180	3	107	104	True	[1.969379403403893, 3.7097656113755733, 2.527555194716325, 3.137234481989429, 4.717447136334962, 5.0]	[2, 1, 1, 0, 2]	0.010083	5058.016002
181	3	127	109	True	[0.2867931611192295, 3.774236090701895, 1.6651868491326083, 2.4627911462778993, 2.8996408038041857, 1.9558301207471043]	[2, 1, 1, 2, 2]	0.001659	4361.336375
182	3	100	140	True	[0.0, 0.8191427273869148, 2.1560432531921143, 2.7235745579199437, 1.9545918517503624, 0.6366878242364291]	[0, 0, 0, 0, 0]	0.005262	2134.879861
183	3	101	104	True	[1.9354676411371747, 3.2992205108393486, 2.901119212720058, 3.9442274589716835, 3.3426785250239965, 0.7050752000763939]	[1, 2, 1, 2, 1]	0.0013	4990.762023
184	3	104	144	True	[0.3700033672630004, 3.897951917794251, 2.56630316953515, 2.456214717199845, 3.298295058840427, 0.889043089388758]	[2, 1, 1, 1, 1]	0.001554	4451.601845
185	3	116	100	True	[2.6279768414008076, 4.450338473301435, 2.395765393159653, 2.5805601410330086, 2.1558856345672477, 4.0234690504543345]	[0, 2, 0, 0, 0]	0.020647	3799.713441
186	3	109	104	True	[1.5777099292090808, 3.7454710108986116, 1.763737211464989, 3.4129387603846326, 3.636693066157695, 1.5998492822894288]	[2, 1, 1, 2, 0]	0.003089	4487.491135
187	3	115	103	True	[1.652737775205487, 2.436538446040995, 0.8394520754558792, 1.3641435671233455, 2.5593966046456664, 0.5338376971141352]	[2, 1, 0, 2, 1]	0.006126	3291.652763
188	3	106	136	True	[1.2052124115577785, 3.51246400260802, 4.1367414858235465, 2.6832877120540854, 1.797384459624218, 0.0]	[0, 0, 0, 0, 2]	0.00925	2796.431516
189	3	102	100	True	[1.5833935191765047, 0.32315595590284885, 4.446214043866657, 2.642418217001929, 2.4822787931782764, 0.0]	[2, 1, 0, 0, 0]	0.010972	3618.888085
190	3	106	141	True	[2.1822756679780824, 0.8313122582231385, 3.769284974689537, 2.6105284081264952, 2.246683919918339, 1.188017659372135]	[0, 2, 0, 2, 0]	0.01434	3319.231605
191	3	105	115	True	[2.1045620560750717, 1.7008400142729303, 2.6638607929210276, 1.6128421177979408, 2.408036540773965, 3.250726672415345]	[2, 1, 0, 0, 0]	0.0243	3315.059772
192	3	126	124	True	[2.6038687288779725, 3.677227287864092, 2.068152748696422, 2.929376295023654, 2.149708632100185, 0.23429326578981552]	[2, 1, 2, 1, 0]	0.001579	4017.234961
193	3	103	115	True	[2.350253048288848, 2.0986935689690207, 2.516739019483125, 1.076366760936333, 2.3158689817338147, 0.7826042049813915]	[2, 1, 1, 2, 2]	0.002629	3900.089204
194	3	110	105	True	[2.190889105182194, 2.115176399967506, 2.5235450831896853, 2.422046861683044, 1.1690882068034822, 3.8966297937996126]	[2, 0, 1, 2, 0]	0.021296	3787.015933
195	3	130	115	True	[0.0, 2.2109595758961302, 2.9831533324119537, 1.2901119018515272, 2.6583976218948626, 1.0863304491223191]	[0, 1, 0, 0, 1]	0.017331	3106.141339
196	3	111	120	True	[1.7644458327022952, 1.6940858658595448, 5.0, 3.8364994246254502, 2.5007310827225817, 1.3010821735663707]	[2, 0, 0, 0, 2]	0.005503	3737.97211
197	3	103	131	True	[1.6155564002206069, 3.8885688478518463, 1.5943593559609317, 1.3709470140364601, 3.2943049635687327, 1.1889779306585893]	[2, 2, 1, 1, 1]	0.003115	4505.996634
198	3	107	108	True	[1.843900085528853, 2.6833811644270007, 1.5395052944596797, 0.7092307909299137, 1.8876053911432118, 2.2333602428102433]	[2, 1, 2, 0, 0]	0.026912	3194.092993
199	3	144	110	True	[1.7315430020032667, 3.92144236416498, 2.7328668486028134, 2.2465711764216723, 1.7074089162989075, 2.327180005059809]	[1, 1, 1, 0, 1]	0.001986	4275.394741
